cadena;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Dia;Salta Cautiva;Cerveza Fresh Lager Salta Cautiva 473 Ml.;473 ml;3100.0;2015.0;35;
Dia;Stella Artois;Cerveza Pure Gold Stella Artois 330 Ml.;330 ml;4185.0;3000.0;28;
Dia;Dia;Cerveza Dorada Lata Dia 473 Ml.;473 ml;2350.0;1790.0;24;
Dia;Estrella De Galicia;Cerveza Pura Malta Lager Estrella Galicia 473 Ml.;473 ml;3700.0;3330.0;10;
Dia;Budweiser;Cerveza Budweiser Lata 473 ml.;473 ml;1550.0;1550.0;0;
Jumbo;Corona;Cerveza Sin Alcohol 330 Cc Corona;330 ml;3600.0;2340.0;35;35% CORONA | Ofertas Internas
Jumbo;Corona;Cerveza Rubia 330ml Corona;330 ml;4550.0;3412.5;25;25% CORONA | Ofertas Internas
Jumbo;Corona;Cerveza Rubia 710 Ml Corona;710 ml;7490.0;4868.5;35;35% CORONA | Ofertas Internas
Jumbo;Stella Artois;Cerveza Lager Pure Gold 473 Cc Stella Artois;473 ml;3390.0;2034.0;40;40% Almacen | Ecommerce
Jumbo;Stella Artois;Cerveza Rubia 975 Ml Stella Artois;975 ml;7050.0;4582.5;35;35% Almacen | Ecommerce
Jumbo;Stella Artois;Cerveza Pure Gold Lager 330 Ml Stella Artois;330 ml;4505.0;2703.0;40;40% Almacen | Ecommerce
Jumbo;Landvik;Cerveza Lager 500 Ml Landvik;500 ml;2350.0;1645.0;30;30% LANDVIK | Ofertas Trafico
Jumbo;Quilmes;Cerveza Lager 710 Cc Quilmes;710 ml;3706.0;2779.5;25;25% QUILMES | Ofertas Internas
Jumbo;Michelob;Cerveza Ultra 473 Cc Michelob;473 ml;3000.0;1950.0;35;35% Almacen | Ecommerce
Jumbo;Schneider;Cerveza Rubia 710 Cc Schneider;710 ml;3800.0;3800.0;0;
Jumbo;Patagonia;Cerveza Amber Lager 730 Cc Patagonia;730 ml;7298.0;5473.5;25;25% PATAGONIA | Ofertas Internas
Jumbo;Heineken;Cerveza Rubia 1 Lts Heineken;-;6851.0;6851.0;0;
Jumbo;Andes;Cerveza Golden Lager 1 Lts Andes;-;5700.0;3420.0;40;40% Almacen | Ecommerce
Jumbo;Brahma;Cerveza Rubia 710 Cc Brahma;710 ml;4088.0;4088.0;0;
Jumbo;Heineken;Cerveza Lager Sin Alcohol 473 Cc Heineken;473 ml;3374.0;3374.0;0;
Jumbo;Blue Moon;Cerveza Belgian White 473 Cc Blue Moon;473 ml;4723.0;3920.09;17;6x5 BLUE MOON | Ofertas Internas
Jumbo;Patagonia;Cerveza Vera IPA 730 Cc Patagonia;730 ml;7298.0;5473.5;25;25% PATAGONIA | Ofertas Internas
Jumbo;Pampa Brewing;Cerveza IPA 473 Cc Pampa Brewing;473 ml;3550.0;3550.0;0;
